RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Nov  5 15:10:43 2019
elapsed time: 3.4e-08s
Source: /app/node9/item-22001 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22005 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.088780 |End 
Source: /app/node9/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22006 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.102620 |End 
Source: /app/node10/item-22007 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.116460 |End 
Source: /app/node10/item-22008 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.130300 |End 
Source: /app/node10/item-22009 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.144140 |End 
Source: /app/node10/item-22010 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.157980 |End 
Source: /app/node10/item-22011 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.171820 |End 
Source: /app/node10/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 11.569522 | Time receivedFromSrcR: 11.583420 |End 
Source: /app/node9/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 12.119522 | Time receivedFromSrcR: 12.133420 |End 
Source: /app/node9/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 13.219522 | Time receivedFromSrcR: 13.233420 |End 
Source: /app/node9/item-22015 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22015 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrcR: 14.319522 | Time receivedFromSrcR: 14.333420 |End 
Source: /app/node9/item-22016 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22016 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrcR: 15.419522 | Time receivedFromSrcR: 15.433420 |End 
Source: /app/node9/item-22017 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22017 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrcR: 16.519522 | Time receivedFromSrcR: 16.533420 |End 
Source: /app/node9/item-22018 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22018 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrcR: 17.619522 | Time receivedFromSrcR: 17.633420 |End 
Source: /app/node9/item-22019 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22019 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrcR: 18.169522 | Time receivedFromSrcR: 18.183420 |End 
Source: /app/node9/item-22020 | Message ID: 20 | Time generated: 19.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22020 | Message ID: 20 | Time generated: 19.100000 | Time sentFromSrcR: 19.269522 | Time receivedFromSrcR: 19.283420 |End 
Source: /app/node9/item-22021 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22021 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrcR: 20.369522 | Time receivedFromSrcR: 20.383420 |End 
Source: /app/node9/item-22022 | Message ID: 22 | Time generated: 21.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22022 | Message ID: 22 | Time generated: 21.100000 | Time sentFromSrcR: 21.469522 | Time receivedFromSrcR: 21.483420 |End 
Source: /app/node9/item-22023 | Message ID: 23 | Time generated: 22.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22023 | Message ID: 23 | Time generated: 22.100000 | Time sentFromSrcR: 22.569522 | Time receivedFromSrcR: 22.583420 |End 
Source: /app/node9/item-22024 | Message ID: 24 | Time generated: 23.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22024 | Message ID: 24 | Time generated: 23.100000 | Time sentFromSrcR: 23.119522 | Time receivedFromSrcR: 23.133420 |End 
Source: /app/node9/item-22025 | Message ID: 25 | Time generated: 24.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22025 | Message ID: 25 | Time generated: 24.100000 | Time sentFromSrcR: 24.219522 | Time receivedFromSrcR: 24.233420 |End 
Source: /app/node9/item-22026 | Message ID: 26 | Time generated: 25.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22026 | Message ID: 26 | Time generated: 25.100000 | Time sentFromSrcR: 25.319522 | Time receivedFromSrcR: 25.333420 |End 
Source: /app/node9/item-22027 | Message ID: 27 | Time generated: 26.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22027 | Message ID: 27 | Time generated: 26.100000 | Time sentFromSrcR: 26.419522 | Time receivedFromSrcR: 26.433420 |End 
Source: /app/node9/item-22028 | Message ID: 28 | Time generated: 27.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22028 | Message ID: 28 | Time generated: 27.100000 | Time sentFromSrcR: 27.519522 | Time receivedFromSrcR: 27.533420 |End 
Source: /app/node9/item-22029 | Message ID: 29 | Time generated: 28.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22029 | Message ID: 29 | Time generated: 28.100000 | Time sentFromSrcR: 28.619522 | Time receivedFromSrcR: 28.633420 |End 
Source: /app/node9/item-22030 | Message ID: 30 | Time generated: 29.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22030 | Message ID: 30 | Time generated: 29.100000 | Time sentFromSrcR: 29.169522 | Time receivedFromSrcR: 29.183420 |End 
Source: /app/node9/item-22031 | Message ID: 31 | Time generated: 30.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22031 | Message ID: 31 | Time generated: 30.100000 | Time sentFromSrcR: 30.269522 | Time receivedFromSrcR: 30.283420 |End 
Source: /app/node9/item-22032 | Message ID: 32 | Time generated: 31.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22032 | Message ID: 32 | Time generated: 31.100000 | Time sentFromSrcR: 31.369522 | Time receivedFromSrcR: 31.383420 |End 
Source: /app/node9/item-22033 | Message ID: 33 | Time generated: 32.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22033 | Message ID: 33 | Time generated: 32.100000 | Time sentFromSrcR: 32.469522 | Time receivedFromSrcR: 32.483420 |End 
Source: /app/node9/item-22034 | Message ID: 34 | Time generated: 33.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22034 | Message ID: 34 | Time generated: 33.100000 | Time sentFromSrcR: 33.569522 | Time receivedFromSrcR: 33.583420 |End 
Source: /app/node9/item-22035 | Message ID: 35 | Time generated: 34.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22035 | Message ID: 35 | Time generated: 34.100000 | Time sentFromSrcR: 34.134260 | Time receivedFromSrcR: 34.148201 |End 
Source: /app/node9/item-22036 | Message ID: 36 | Time generated: 35.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22036 | Message ID: 36 | Time generated: 35.100000 | Time sentFromSrcR: 35.234260 | Time receivedFromSrcR: 35.248201 |End 
Source: /app/node9/item-22037 | Message ID: 37 | Time generated: 36.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22037 | Message ID: 37 | Time generated: 36.100000 | Time sentFromSrcR: 36.334260 | Time receivedFromSrcR: 36.348201 |End 
Source: /app/node9/item-22038 | Message ID: 38 | Time generated: 37.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22038 | Message ID: 38 | Time generated: 37.100000 | Time sentFromSrcR: 37.434260 | Time receivedFromSrcR: 37.448201 |End 
Source: /app/node9/item-22039 | Message ID: 39 | Time generated: 38.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22039 | Message ID: 39 | Time generated: 38.100000 | Time sentFromSrcR: 38.534260 | Time receivedFromSrcR: 38.548201 |End 
Source: /app/node9/item-22040 | Message ID: 40 | Time generated: 39.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22040 | Message ID: 40 | Time generated: 39.100000 | Time sentFromSrcR: 39.634260 | Time receivedFromSrcR: 39.648201 |End 
Source: /app/node9/item-22041 | Message ID: 41 | Time generated: 40.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22041 | Message ID: 41 | Time generated: 40.100000 | Time sentFromSrcR: 40.188900 | Time receivedFromSrcR: 40.202798 |End 
Source: /app/node9/item-22042 | Message ID: 42 | Time generated: 41.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22042 | Message ID: 42 | Time generated: 41.100000 | Time sentFromSrcR: 41.288900 | Time receivedFromSrcR: 41.302798 |End 
Source: /app/node9/item-22043 | Message ID: 43 | Time generated: 42.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22043 | Message ID: 43 | Time generated: 42.100000 | Time sentFromSrcR: 42.388900 | Time receivedFromSrcR: 42.402798 |End 
Source: /app/node9/item-22044 | Message ID: 44 | Time generated: 43.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22044 | Message ID: 44 | Time generated: 43.100000 | Time sentFromSrcR: 43.488900 | Time receivedFromSrcR: 43.502798 |End 
Source: /app/node9/item-22045 | Message ID: 45 | Time generated: 44.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22045 | Message ID: 45 | Time generated: 44.100000 | Time sentFromSrcR: 44.588900 | Time receivedFromSrcR: 44.602798 |End 
Source: /app/node9/item-22046 | Message ID: 46 | Time generated: 45.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22046 | Message ID: 46 | Time generated: 45.100000 | Time sentFromSrcR: 45.138900 | Time receivedFromSrcR: 45.152798 |End 
Source: /app/node9/item-22047 | Message ID: 47 | Time generated: 46.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node10/item-22047 | Message ID: 47 | Time generated: 46.100000 | Time sentFromSrcR: 46.238900 | Time receivedFromSrcR: 46.252798 |End 
Source: /app/node9/item-22048 | Message ID: 48 | Time generated: 47.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22049 | Message ID: 49 | Time generated: 48.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22050 | Message ID: 50 | Time generated: 49.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22051 | Message ID: 51 | Time generated: 50.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22052 | Message ID: 52 | Time generated: 51.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22053 | Message ID: 53 | Time generated: 52.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22054 | Message ID: 54 | Time generated: 53.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22055 | Message ID: 55 | Time generated: 54.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22056 | Message ID: 56 | Time generated: 55.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22057 | Message ID: 57 | Time generated: 56.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22058 | Message ID: 58 | Time generated: 57.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22059 | Message ID: 59 | Time generated: 58.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22060 | Message ID: 60 | Time generated: 59.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22061 | Message ID: 61 | Time generated: 60.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22062 | Message ID: 62 | Time generated: 61.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22063 | Message ID: 63 | Time generated: 62.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22064 | Message ID: 64 | Time generated: 63.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22065 | Message ID: 65 | Time generated: 64.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22066 | Message ID: 66 | Time generated: 65.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22067 | Message ID: 67 | Time generated: 66.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22068 | Message ID: 68 | Time generated: 67.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22069 | Message ID: 69 | Time generated: 68.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22070 | Message ID: 70 | Time generated: 69.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22071 | Message ID: 71 | Time generated: 70.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22072 | Message ID: 72 | Time generated: 71.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22073 | Message ID: 73 | Time generated: 72.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22074 | Message ID: 74 | Time generated: 73.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22075 | Message ID: 75 | Time generated: 74.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22076 | Message ID: 76 | Time generated: 75.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22077 | Message ID: 77 | Time generated: 76.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22078 | Message ID: 78 | Time generated: 77.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22079 | Message ID: 79 | Time generated: 78.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node8/item-22079 | Message ID: 79 | Time generated: 78.100000 | Time sentFromSrcR: 78.519684 | Time receivedFromSrcR: 78.533699 |End 
Source: /app/node9/item-22080 | Message ID: 80 | Time generated: 79.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node8/item-22080 | Message ID: 80 | Time generated: 79.100000 | Time sentFromSrcR: 79.619813 | Time receivedFromSrcR: 79.633920 |End 
Source: /app/node7/item-22079 | Message ID: 79 | Time generated: 78.100000 | Time sentFromSrcR: 79.819644 | Time receivedFromSrcR: 79.833629 |End 
Source: /app/node7/item-22080 | Message ID: 80 | Time generated: 79.100000 | Time sentFromSrcR: 79.819644 | Time receivedFromSrcR: 79.847469 |End 
Source: /app/node9/item-22081 | Message ID: 81 | Time generated: 80.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22081 | Message ID: 81 | Time generated: 80.100000 | Time sentFromSrcR: 80.374283 | Time receivedFromSrcR: 80.388267 |End 
Source: /app/node9/item-22082 | Message ID: 82 | Time generated: 81.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22083 | Message ID: 83 | Time generated: 82.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22082 | Message ID: 82 | Time generated: 81.100000 | Time sentFromSrcR: 82.819643 | Time receivedFromSrcR: 82.833627 |End 
Source: /app/node7/item-22083 | Message ID: 83 | Time generated: 82.100000 | Time sentFromSrcR: 82.819643 | Time receivedFromSrcR: 82.847467 |End 
Source: /app/node9/item-22084 | Message ID: 84 | Time generated: 83.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22084 | Message ID: 84 | Time generated: 83.100000 | Time sentFromSrcR: 83.369643 | Time receivedFromSrcR: 83.397467 |End 
Source: /app/node9/item-22085 | Message ID: 85 | Time generated: 84.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node9/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22085 | Message ID: 85 | Time generated: 84.100000 | Time sentFromSrcR: 85.519643 | Time receivedFromSrcR: 85.533627 |End 
Source: /app/node7/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 85.519643 | Time receivedFromSrcR: 85.547467 |End 
Source: /app/node9/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 86.619643 | Time receivedFromSrcR: 86.633627 |End 
Source: /app/node9/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 87.169643 | Time receivedFromSrcR: 87.183627 |End 
Source: /app/node0/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 87.284336 | Time receivedFromSrcR: 87.298463 |End 
Source: /app/node0/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 87.284336 | Time receivedFromSrcR: 87.312303 |End 
Source: /app/node1/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 88.019643 | Time receivedFromSrcR: 88.033627 |End 
Source: /app/node6/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 86.369658 | Time receivedFromSrcR: 88.047467 |End 
Source: /app/node6/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 86.369658 | Time receivedFromSrcR: 88.061307 |End 
Source: /app/node6/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 87.484292 | Time receivedFromSrcR: 88.075147 |End 
Source: /app/node9/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node7/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 88.284288 | Time receivedFromSrcR: 88.298273 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 88.434642 | Time receivedFromSrcR: 88.462609 |End 
Source: /app/node2/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 88.434642 | Time receivedFromSrcR: 88.476449 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 88.569643 | Time receivedFromSrcR: 88.597467 |End 
Source: /app/node5/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 88.469842 | Time receivedFromSrcR: 88.611307 |End 
Source: /app/node8/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 85.298326 | Time receivedFromSrcR: 88.625147 |End 
Source: /app/node8/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 86.369643 | Time receivedFromSrcR: 88.638987 |End 
Source: /app/node5/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 88.469842 | Time receivedFromSrcR: 88.652827 |End 
Source: /app/node9/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 89.134358 | Time receivedFromSrcR: 89.166644 |End 
Source: /app/node4/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 89.134358 | Time receivedFromSrcR: 89.180484 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.134358 | Time receivedFromSrcR: 89.194324 |End 
Source: /app/node0/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.172096 | Time receivedFromSrcR: 89.200063 |End 
Source: /app/node7/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.369643 | Time receivedFromSrcR: 89.383627 |End 
Source: /app/node6/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 89.569842 | Time receivedFromSrcR: 89.583969 |End 
Source: /app/node1/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.689018 | Time receivedFromSrcR: 89.703002 |End 
Source: /app/node2/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 90.024330 | Time receivedFromSrcR: 90.038457 |End 
Source: /app/node5/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 90.019643 | Time receivedFromSrcR: 90.047467 |End 
Source: /app/node5/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 90.019643 | Time receivedFromSrcR: 90.075147 |End 
Source: /app/node8/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 88.557571 | Time receivedFromSrcR: 90.088987 |End 
Source: /app/node9/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node8/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 88.557571 | Time receivedFromSrcR: 90.102827 |End 
Source: /app/node5/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 90.019643 | Time receivedFromSrcR: 90.116667 |End 
Source: /app/node8/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.619643 | Time receivedFromSrcR: 90.130507 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 90.234358 | Time receivedFromSrcR: 90.252804 |End 
Source: /app/node1/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 90.239018 | Time receivedFromSrcR: 90.266842 |End 
Source: /app/node7/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 90.469643 | Time receivedFromSrcR: 90.483686 |End 
